Conference,Year,Title,Authors,PDF Link,Code,status_code,Data,File name,Comments,Assigned To
AsiaCCS,2013,Privacy settings in social networking systems: what you cannot control,Masoumzadeh Amirreza and Joshi James,https://dl.acm.org/doi/pdf/10.1145/2484313.2484331,,,,Amirreza_Masoumzadeh_2013.pdf,,
AsiaCCS,2013,Trustworthy distributed computing on social networks,Mohaisen Abedelaziz and Tran Huy and Chandra Abhishek and Kim Yongdae,https://dl.acm.org/doi/pdf/10.1145/2484313.2484332,,,,Abedelaziz_Mohaisen_2013.pdf,,
AsiaCCS,2013,On the feasibility of inference attacks by third-party extensions to social network systems,Ahmadinejad Seyed Hossein and Fong Philip W.L.,https://dl.acm.org/doi/pdf/10.1145/2484313.2484333,,,,SeyedHossein_Ahmadinejad_2013.pdf,,
AsiaCCS,2013,Dynamix: anonymity on dynamic social structures,Mohaisen Abedelaziz and Kim Yongdae,https://dl.acm.org/doi/pdf/10.1145/2484313.2484334,,,,Abedelaziz_Mohaisen_2013_1.pdf,,
AsiaCCS,2013,Protecting access privacy of cached contents in information centric networks,Mohaisen Abedelaziz and Zhang Xinwen and Schuchard Max and Xie Haiyong and Kim Yongdae,https://dl.acm.org/doi/pdf/10.1145/2484313.2484335,,,,Abedelaziz_Mohaisen_2013_2.pdf,,
AsiaCCS,2013,The role and effectiveness of cryptography in network virtualization: a position paper,Mao Wenbo,https://dl.acm.org/doi/pdf/10.1145/2484313.2484337,,,,Wenbo_Mao_2013.pdf,,
AsiaCCS,2013,Efficient dynamic provable possession of remote data via balanced update trees,Zhang Yihua and Blanton Marina,https://dl.acm.org/doi/pdf/10.1145/2484313.2484339,,,,Yihua_Zhang_2013.pdf,,
AsiaCCS,2013,Weak leakage-resilient client-side deduplication of encrypted data in cloud storage,Xu Jia and Chang Ee-Chien and Zhou Jianying,https://dl.acm.org/doi/pdf/10.1145/2484313.2484340,,,,Jia_Xu_2013.pdf,,
AsiaCCS,2013,Data-oblivious graph algorithms for secure computation and outsourcing,Blanton Marina and Steele Aaron and Alisagari Mehrdad,https://dl.acm.org/doi/pdf/10.1145/2484313.2484341,,,,Marina_Blanton_2013.pdf,,
AsiaCCS,2013,SecLaaS: secure logging-as-a-service for cloud forensics,Zawoad Shams and Dutta Amit Kumar and Hasan Ragib,https://dl.acm.org/doi/pdf/10.1145/2484313.2484342,,,,Shams_Zawoad_2013.pdf,,
AsiaCCS,2013,An empirical study on the software integrity of virtual appliances: are you really getting what you paid for?,Huh Jun Ho and Montanari Mirko and Dagit Derek and Bobba Rakesh B. and Kim Dong Wook and Choi Yoonjoo and Campbell Roy,https://dl.acm.org/doi/pdf/10.1145/2484313.2484343,,,,JunHo_Huh_2013.pdf,,
AsiaCCS,2013,Expressive search on encrypted data,Lai Junzuo and Zhou Xuhua and Deng Robert Huijie and Li Yingjiu and Chen Kefei,https://dl.acm.org/doi/pdf/10.1145/2484313.2484345,,,,Junzuo_Lai_2013.pdf,,
AsiaCCS,2013,Towards asymmetric searchable encryption with message recovery and flexible search authorization,Tang Qiang and Chen Xiaofeng,https://dl.acm.org/doi/pdf/10.1145/2484313.2484346,,,,Qiang_Tang_2013.pdf,,
AsiaCCS,2013,Boolean symmetric searchable encryption,Moataz Tarik and Shikfa Abdullatif,https://dl.acm.org/doi/pdf/10.1145/2484313.2484347,,,,Tarik_Moataz_2013.pdf,,
AsiaCCS,2013,Multi-channel broadcast encryption,Phan Duong Hieu and Pointcheval David and Trinh Viet Cuong,https://dl.acm.org/doi/pdf/10.1145/2484313.2484348,,,,DuongHieu_Phan_2013.pdf,,
AsiaCCS,2013,Comparative study of multicast authentication schemes with application to wide-area measurement system,Law Yee Wei and Gong Zheng and Luo Tie and Marusic Slaven and Palaniswami Marimuthu,https://dl.acm.org/doi/pdf/10.1145/2484313.2484349,,,,YeeWei_Law_2013.pdf,,
AsiaCCS,2013,Gadge me if you can: secure and efficient ad-hoc instruction-level randomization for x86 and ARM,"Davi Lucas Vincenzo and Dmitrienko Alexandra and N\""{u}rnberger Stefan and Sadeghi Ahmad-Reza",https://dl.acm.org/doi/pdf/10.1145/2484313.2484351,,,,LucasVincenzo_Davi_2013.pdf,,
AsiaCCS,2013,Enforcing system-wide control flow integrity for exploit detection and diagnosis,Prakash Aravind and Yin Heng and Liang Zhenkai,https://dl.acm.org/doi/pdf/10.1145/2484313.2484352,,,,Aravind_Prakash_2013.pdf,,
AsiaCCS,2013,Secure cloud-assisted location based reminder,Zhao Xinxin and Li Lingjun and Xue Guoliang,https://dl.acm.org/doi/pdf/10.1145/2484313.2484354,,,,Xinxin_Zhao_2013.pdf,,
AsiaCCS,2013,DroidChameleon: evaluating Android anti-malware against transformation attacks,Rastogi Vaibhav and Chen Yan and Jiang Xuxian,https://dl.acm.org/doi/pdf/10.1145/2484313.2484355,,,,Vaibhav_Rastogi_2013.pdf,,
AsiaCCS,2013,Bind your phone number with caution: automated user profiling through address book matching on smartphone,Cheng Yao and Ying Lingyun and Jiao Sibei and Su Purui and Feng Dengguo,https://dl.acm.org/doi/pdf/10.1145/2484313.2484356,,,,Yao_Cheng_2013.pdf,,
AsiaCCS,2013,Towards preventing QR code based attacks on android phone using security warnings,Yao Huiping and Shin Dongwan,https://dl.acm.org/doi/pdf/10.1145/2484313.2484357,,,,Huiping_Yao_2013.pdf,,
AsiaCCS,2013,Time evolving graphical password for securing mobile devices,Wang Zhan and Jing Jiwu and Li Liang,https://dl.acm.org/doi/pdf/10.1145/2484313.2484358,,,,Zhan_Wang_2013.pdf,,
AsiaCCS,2013,DroidAlarm: an all-sided static analysis tool for Android privilege-escalation malware,Zhongyang Yibing and Xin Zhi and Mao Bing and Xie Li,https://dl.acm.org/doi/pdf/10.1145/2484313.2484359,,,,Yibing_Zhongyang_2013.pdf,,
AsiaCCS,2013,k-anonymous reputation,Sebastian Claus and Stefan Schiffner and Florian Kerschbaum,https://dl.acm.org/doi/pdf/10.1145/2484313.2484361,,,,Claus_Sebastian_2013.pdf,,
AsiaCCS,2013,Privacy-preserving smart metering with regional statistics and personal enquiry services,Chu Cheng-Kang and Liu Joseph K. and Wong Jun Wen and Zhao Yunlei and Zhou Jianying,https://dl.acm.org/doi/pdf/10.1145/2484313.2484362,,,,Cheng-Kang_Chu_2013.pdf,,
AsiaCCS,2013,Protecting privacy by sanitizing personal data: a new approach to anonymous credentials,Canard Sebastien and Lescuyer Roch,https://dl.acm.org/doi/pdf/10.1145/2484313.2484363,,,,Sebastien_Canard_2013.pdf,,
AsiaCCS,2013,An information-flow type-system for mixed protocol secure computation,Kerschbaum Florian,https://dl.acm.org/doi/pdf/10.1145/2484313.2484364,,,,Florian_Kerschbaum_2013.pdf,,
AsiaCCS,2013,Robust network traffic identification with unknown applications,Zhang Jun and Chen Chao and Xiang Yang and Zhou Wanlei,https://dl.acm.org/doi/pdf/10.1145/2484313.2484366,,,,Jun_Zhang_2013,,
AsiaCCS,2013,STRIDE: sanctuary trail -- refuge from internet DDoS entrapment,Hsiao Hsu-Chun and Kim Tiffany Hyun-Jin and Yoo Sangjae and Zhang Xin and Lee Soo Bum and Gligor Virgil and Perrig Adrian,https://dl.acm.org/doi/pdf/10.1145/2484313.2484367,,,,Hsu-Chun_Hsiao_2013.pdf,,
AsiaCCS,2013,Practical verification of WPA-TKIP vulnerabilities,Vanhoef Mathy and Piessens Frank,https://dl.acm.org/doi/pdf/10.1145/2484313.2484368,,,,Mathy_Vanhoef_2013.pdf,,
AsiaCCS,2013,Faster secure two-party computation with less memory,Henecka Wilko and Schneider Thomas,https://dl.acm.org/doi/pdf/10.1145/2484313.2484369,https://github.com/encryptogroup/me-sfe,200,,Wilko_Henecka_2013.pdf,,
AsiaCCS,2013,TabShots: client-side detection of tabnabbing attacks,De Ryck Philippe and Nikiforakis Nick and Desmet Lieven and Joosen Wouter,https://dl.acm.org/doi/pdf/10.1145/2484313.2484371,,,,Philippe_De_2013,,
AsiaCCS,2013,Fuzzing the ActionScript virtual machine,Wen Guanxing and Zhang Yuqing and Liu Qixu and Yang Dingning,https://dl.acm.org/doi/pdf/10.1145/2484313.2484372,,,,Guanxing_Wen_2013.pdf,,
AsiaCCS,2013,Sensing-enabled channels for hard-to-detect command and control of mobile devices,Hasan Ragib and Saxena Nitesh and Haleviz Tzipora and Zawoad Shams and Rinehart Dustin,https://dl.acm.org/doi/pdf/10.1145/2484313.2484373,,,,Ragib_Hasan_2013.pdf,,
AsiaCCS,2013,LogicScope: automatic discovery of logic vulnerabilities within web applications,Li Xiaowei and Xue Yuan,https://dl.acm.org/doi/pdf/10.1145/2484313.2484375,,,,Xiaowei_Li_2013.pdf,,
AsiaCCS,2013,Protecting function pointers in binary,Zhang Chao and Wei Tao and Chen Zhaofeng and Duan Lei and McCamant Stephen and Szekeres Laszlo,https://dl.acm.org/doi/pdf/10.1145/2484313.2484376,,,,Chao_Zhang_2013.pdf,,
AsiaCCS,2013,The (un)reliability of NVD vulnerable versions data: an empirical experiment on Google Chrome vulnerabilities,Nguyen Viet Hung and Massacci Fabio,https://dl.acm.org/doi/pdf/10.1145/2484313.2484377,,,,VietHung_Nguyen_2013.pdf,,
AsiaCCS,2013,Horizon extender: long-term preservation of data leakage evidence in web traffic,Gugelmann David and Schatzmann Dominik and Lenders Vincent,https://dl.acm.org/doi/pdf/10.1145/2484313.2484378,,,,David_Gugelmann_2013.pdf,,
AsiaCCS,2013,Towards fully incremental cryptographic schemes,Atighehchi Kevin and Muntean Traian,https://dl.acm.org/doi/pdf/10.1145/2484313.2484380,,,,Kevin_Atighehchi_2013.pdf,,
AsiaCCS,2013,Anonymous attribute-based encryption supporting efficient decryption test,Zhang Yinghui and Chen Xiaofeng and Li Jin and Wong Duncan S. and Li Hui,https://dl.acm.org/doi/pdf/10.1145/2484313.2484381,,,,Yinghui_Zhang_2013.pdf,,
AsiaCCS,2013,A group signature scheme with unbounded message-dependent opening,Ohara Kazuma and Sakai Yusuke and Emura Keita and Hanaoka Goichiro,https://dl.acm.org/doi/pdf/10.1145/2484313.2484382,,,,Kazuma_Ohara_2013.pdf,,
AsiaCCS,2013,Attribute-based fine-grained access control with efficient revocation in cloud storage systems,Yang Kan and Jia Xiaohua and Ren Kui,https://dl.acm.org/doi/pdf/10.1145/2484313.2484383,,,,Kan_Yang_2013.pdf,,
AsiaCCS,2013,Covert computation: hiding code in code for obfuscation purposes,Schrittwieser Sebastian and Katzenbeisser Stefan and Kieseberg Peter and Huber Markus and Leithner Manuel and Mulazzani Martin and Weippl Edgar,https://dl.acm.org/doi/pdf/10.1145/2484313.2484384,,,,Sebastian_Schrittwieser_2013.pdf,,
AsiaCCS,2013,Proof of plaintext knowledge for code-based public-key encryption revisited,Hu Rong and Morozov Kirill and Takagi Tsuyoshi,https://dl.acm.org/doi/pdf/10.1145/2484313.2484385,,,,Rong_Hu_2013.pdf,,
AsiaCCS,2013,An efficient and probabilistic secure bit-decomposition,Samanthula Bharath K. K. and Chun Hu and Jiang Wei,https://dl.acm.org/doi/pdf/10.1145/2484313.2484386,,,,Bharath_K_K_Samanthula_2013,,
AsiaCCS,2013,Defining verifiability in e-auction protocols,Dreier Jannik and Jonker Hugo and Lafourcade Pascal,https://dl.acm.org/doi/pdf/10.1145/2484313.2484387,,,,Jannik_Dreier_2013.pdf,,
AsiaCCS,2013,Verifiable and private top-k monitoring,Ding Xuhua and Pang HweeHwa and Lai Junzuo,https://dl.acm.org/doi/pdf/10.1145/2484313.2484388,,,,Xuhua_Ding_2013.pdf,,
AsiaCCS,2014,Letting the Puss in Boots Sweat: Detecting Fake Access Points using Dependency of Clock Skews on Temperature,"Fabian Lanze, Andriy Panchenko, Benjamin Braatz, Thomas Engel",https://dl.acm.org/doi/pdf/10.1145/2590296.2590333,,,,Fabian_Lanze_2014.pdf,,
AsiaCCS,2014,Covert Ephemeral Communication in Named Data Networking,"Moreno Ambrosin, Mauro Conti, Paolo Gasti, Gene Tsudik",https://dl.acm.org/doi/pdf/10.1145/2590296.2590306,,,,Moreno_Ambrosin_2014.pdf,,
AsiaCCS,2014,Scanner Hunter:Understanding HTTP Scanning Traffic,"Guowu Xie, Huy Hang, Michalis Faloutsos",https://dl.acm.org/doi/pdf/10.1145/2590296.2590297,,,,Guowu_Xie_2014.pdf,,
AsiaCCS,2014,Detection of Stealthy Malware Activities with Traffic Causality and Scalable Triggering Relation Discovery,"Hao Zhang, Danfeng Yao, Naren Ramakrishnan",https://dl.acm.org/doi/pdf/10.1145/2590296.2590309,,,,Hao_Zhang_2014.pdf,,
AsiaCCS,2014,Towards Automated Protocol Reverse Engineering Using Semantic Information,"Georges Bossert, Frédéric Guihéry, Guillaume Hiet",https://dl.acm.org/doi/pdf/10.1145/2590296.2590346,https://github.com/netzob/netzob,200,,Georges_Bossert_2014.pdf,,
AsiaCCS,2014,Re^3: Relay Reliability Reputation for Anonymity Systems,"Anupam Das, Nikita Borisov, Prateek Mittal, Matthew Caesar",http://caesar.web.engr.illinois.edu/papers/re3-asiaccs14.pdf,,,,Anupam_Das_2014.pdf,,
AsiaCCS,2014,Persea: A Sybil-Resistant Social DHT,"Mahdi Nasrullah Al-Ameen, Matthew Wright",https://dl.acm.org/doi/pdf/10.1145/2590296.2590326,,,,Mahdi_AlAmeen_2014.pdf,,
AsiaCCS,2014,OTIT: Towards Secure Provenance Modeling for Location Proofs,"Rasib Khan, Shams Zawoad, Md Haque, Ragib Hasan",https://dl.acm.org/doi/pdf/10.1145/2590296.2590339,,,,Rasib_Khan_2014.pdf,,
AsiaCCS,2014,"Privacy-Preserving Distance Computation and Proximity Testing on Earth, Done Right","Jaroslav Šedĕnka, Paolo Gasti",https://dl.acm.org/doi/pdf/10.1145/2590296.2590307,,,,Jaroslav_Sedenka_2014.pdf,,
AsiaCCS,2014,Maple: Scalable Multi-Dimensional Range Search over Encrypted Cloud Data with Tree-based Index,"Boyang Wang, Yantian Hou, Ming Li, Haitao Wang, Hui Li",https://dl.acm.org/doi/pdf/10.1145/2590296.2590305,,,,Boyang_Wang_2014.pdf,,
AsiaCCS,2014,Privacy of Outsourced k-Means Clustering,"Dongxi Liu, Elisa Bertino, Xun Yi",https://dl.acm.org/doi/pdf/10.1145/2590296.2590332,,,,Dongxi_Liu_2014.pdf,,
AsiaCCS,2014,PIDGIN: Privacy Preserving Interest and Content Sharing in Opportunistic Networks,"Muhammad Rizwan Asghar, Ashish Gehani, Bruno Crispo, Giovanni Russello",https://dl.acm.org/doi/pdf/10.1145/2590296.2590303,,,,Muhammad_Asghar_2014.pdf,,
AsiaCCS,2014,S-ORAM: A Segmentation-based Oblivious RAM,"Jinsheng Zhang, Wensheng Zhang, Daji Qiao",https://www.engineering.iastate.edu/~daji/papers/2014asiaccs.pdf,,,,Jinsheng_Zhang_2014.pdf,,
AsiaCCS,2014,Differential Privacy with delta-Neighbourhood for Spatial and Dynamic Datasets,"Chengfang Fang, Ee-Chien Chang",https://dl.acm.org/doi/pdf/10.1145/2590296.2590320,,,,Chengfang_Fang_2014.pdf,,
AsiaCCS,2014,On The Effectiveness of Risk Prediction Based on Users Browsing Behavior,"Davide Canali, Davide Balzarotti, Leyla Bilge",https://dl.acm.org/doi/pdf/10.1145/2590296.2590347,,,,Davide_Canali_2014.pdf,,
AsiaCCS,2014,Protecting Users Against XSS-based Password Manager Abuse,"Ben Stock, Martin Johns",https://dl.acm.org/doi/pdf/10.1145/2590296.2590336,,,,Ben_Stock_2014.pdf,,
AsiaCCS,2014,"A Three-Way Investigation of a Game-CAPTCHA: Automated Attacks, Relay Attacks and Usability","Manar Mohamed, Niharika Sachdeva, Michael Georgescu, Song Gao, Nitesh Saxena, ChengcuiZhang, Ponnurangam Kumaraguru, Paul C. Van Oorschot, Wei-Bang Chen",https://nsaxena.engr.tamu.edu/wp-content/uploads/sites/238/2019/12/mohamed-asiaccs2014.pdf,,,,Manar_Mohamed_2014.pdf,,
AsiaCCS,2014,Modelling After-the-fact Leakage for Key Exchange,"Janaka Alawatugoda, Douglas Stebila, Colin Boyd",https://dl.acm.org/doi/pdf/10.1145/2590296.2590317,,,,Janaka_Alawatugoda_2014.pdf,,
AsiaCCS,2014,Practical Secret Key Agreement for Full-Duplex Near Field Communications,"Rong Jin, Xianru Du, Zi Deng, Kai Zeng, Jing Xu",https://dl.acm.org/doi/pdf/10.1145/2590296.2590327,,,,Rong_Jin_2014.pdf,,
AsiaCCS,2014,"Multi-recipient Encryption, Revisited","Alexandre Pinto, Bertram Poettering, Jacob Schuldt",https://dl.acm.org/doi/pdf/10.1145/2590296.2590329,,,,Alexandre_Pinto_2014.pdf,,
AsiaCCS,2014,Fully Secure Key-Policy Attribute-Based Encryption with Constant-Size Ciphertexts and Fast Decryption,"Junzuo Lai, Robert Deng, Yingjiu Li, Jian Weng",https://dl.acm.org/doi/pdf/10.1145/2590296.2590334,,,,Junzuo_Lai_2014.pdf,,
AsiaCCS,2014,Improved Anonymous Proxy Re-encryption with CCA Security,"Qingji Zheng, Wei Zhu, Jiafeng Zhu, Xinwen Zhang",https://dl.acm.org/doi/pdf/10.1145/2590296.2590322,,,,Qingji_Zheng_2014.pdf,,
AsiaCCS,2014,Efficient; Context-Aware Privacy Leakage Confinement for Android Applications without Firmware Modding,"Mu Zhang, Heng Yin",https://www.cs.ucr.edu/~heng/pubs/asiaccs14.pdf,,,,Mu_Zhang_2014.pdf,,
AsiaCCS,2014,Malware Detection with Quantitative Data Flow Graphs,"Tobias Wuchner, Martin Ochoa, Alexander Pretschner",https://dl.acm.org/doi/pdf/10.1145/2590296.2590319,,,,Tobias_Wuchner_2014.pdf,,
AsiaCCS,2014,Abstract Model Counting: A Novel Approach for Quantification of Information Leaks,"Quoc-Sang Phan, Pasquale Malacaria",https://dl.acm.org/doi/pdf/10.1145/2590296.2590328,,,,Quoc-Sang_Phan_2014.pdf,,
AsiaCCS,2014,ConXsense - Automated Context Classification for Context-Aware Access Control,"Markus Miettinen, Stephan Heuser, Wiebke Kronz, Ahmad-Reza Sadeghi,  N.Asokan",https://dl.acm.org/doi/pdf/10.1145/2590296.2590337,,,,Markus_Miettinen_2014.pdf,,
AsiaCCS,2014,On the Feasibility of Software Attacks on Commodity Virtual Machine Monitors via Direct Device Assignment,"Gábor Pék, Andrea Lanzi, Abhinav Srivastava, Davide Balzarotti, Aurélien Francillon, ChristophNeumann",https://dl.acm.org/doi/pdf/10.1145/2590296.2590299,,,,Gabor_Pek_2014.pdf,,
AsiaCCS,2014,After We Knew It: Empirical Study and Modeling of Cost-effectiveness of Exploiting Prevalent Known Vulnerabilities Across IaaS Cloud,"Su Zhang, Xinwen Zhang, Xinming Ou",https://dl.acm.org/doi/pdf/10.1145/2590296.2590300,,,,Su_Zhang_2014.pdf,,
AsiaCCS,2014,PROSPECT - Peripheral Proxying Supported Embedded Code Testing,"Markus Kammerstetter, Christian Platzer, Wolfgang Kastner",https://dl.acm.org/doi/pdf/10.1145/2590296.2590301,,,,Markus_Kammerstetter_2014.pdf,,
AsiaCCS,2014,Scanning of Real-world Web Applications for Parameter Tampering Vulnerabilities,"Adonis P.H. Fung, Tielei Wang, K.W. Cheung, T.Y. Wong",https://dl.acm.org/doi/pdf/10.1145/2590296.2590324,,,,Adonis_Fung_2014.pdf,,
AsiaCCS,2014,"The Harvester, the Botmaster, and the Spammer: On the Relations Between the Different Actors in the Spam Landscape","Gianluca Stringhini, Oliver Hohlfeld, Christopher Kruegel, Giovanni Vigna",https://dl.acm.org/doi/pdf/10.1145/2590296.2590302,,,,Gianluca_Stringhini_2014.pdf,,
AsiaCCS,2014,pTwitterRec: A Privacy-Preserving Personalized Tweet Recommendation Framework,"Bisheng Liu, Urs Hengartner",https://dl.acm.org/doi/pdf/10.1145/2590296.2590304,,,,Bisheng_Liu_2014.pdf,,
AsiaCCS,2014,Shades of Grey: A Closer Look at Emails in the Gray Area,"Jelena Isacenkova, Davide Balzarotti",https://www.s3.eurecom.fr/docs/asiaccs14_grayspam.pdf,,,,Jelena_Isacenkova_2014.pdf,,
AsiaCCS,2014,Practical User Authentication Leveraging Channel State Information (CSI),"Hongbo Liu, Yan Wang, Jian Liu, Jie Yang, Yingying Chen",https://dl.acm.org/doi/pdf/10.1145/2590296.2590321,,,,Hongbo_Liu_2014.pdf,,
AsiaCCS,2014,Outsourceable Two-Party Privacy-Preserving Biometric Authentication,"Chun Hu, Yousef Elmehdwi, Feng Li, Prabir Bhattacharya, Wei Jiang",https://dl.acm.org/doi/pdf/10.1145/2590296.2590343,,,,Hu_Chun_2014.pdf,,
AsiaCCS,2014,Understanding OSN-Based Facial Disclosure against Face Authentication Systems,"Yan Li, Ke Xu, Qiang Yan, Yingjiu Li, Robert H. Deng",https://dl.acm.org/doi/pdf/10.1145/2590296.2590315,,,,Yan_Li_2014.pdf,,
AsiaCCS,2014,Tracing and Revoking Leaked Credentials: Accountability in Leaking Sensitive Outsourced Data,"Hua Deng, Qianhong Wu, Bo Qin, Sherman S. M. Chow, Josep Domingo-Ferrer, Wenchang Shi",https://dl.acm.org/doi/pdf/10.1145/2590296.2590342,,,,Hua_Deng_2014.pdf,,
AsiaCCS,2014,Sufficient Conditions for Vertical Composition of Security Protocols,"Sebastian A. Mödersheim, Luca Viganò",https://dl.acm.org/doi/pdf/10.1145/2590296.2590330,,,,Sebastian_Modersheim_2014.pdf,,
AsiaCCS,2014,Evading Android Runtime Analysis via Sandbox Detection,"Timothy Vidas, Nicolas Christin",https://www.andrew.cmu.edu/user/nicolasc/publications/VC-ASIACCS14.pdf,,,,Timothy_Vidas_2014.pdf,,
AsiaCCS,2014,VirtualSwindle: An Automated Attack Against In-App Billing on Android,"Collin Mulliner, William Robertson, Engin Kirda",https://seclab.nu/static/publications/asiaccs2014virtualswindle.pdf,https://github.com/crmulliner/ddi/,200,,Collin_Mulliner_2014.pdf,Android SDK,
AsiaCCS,2014,DroidRay: A Security Evaluation System for Customized Android Firmwares,"Min Zheng, Mingshen Sun, John C.S. Lui",https://www.cse.cuhk.edu.hk/~cslui/PUBLICATION/ASIACCS2014DROIDRAY.pdf,,,,Min_Zheng_2014.pdf,,
AsiaCCS,2014,APKLancet: Tumor Payload Diagnosis and Purification for Android Applications,"Wenbo Yang, Juanru Li, Yuanyuan Zhang, Yong Li, Junliang Shu, Dawu Gu",https://dl.acm.org/doi/pdf/10.1145/2590296.2590314,,,,Wenbo_Yang_2014.pdf,,
AsiaCCS,2014,How Many Down? Toward Understanding Systematic Risk in Networks,"Benjamin Johnson, Aron Laszka, Jens Grossklags",https://dl.acm.org/doi/pdf/10.1145/2590296.2590308,,,,Benjamin_Johnson_2014.pdf,,
AsiaCCS,2014,Prover Anonymous and Deniable Distance-Bounding Authentication,"Sebastien Gambs, Cristina Onete, Jean-Marc Robert",https://dl.acm.org/doi/pdf/10.1145/2590296.2590331,,,,Sebastien_Gambs_2014.pdf,,
AsiaCCS,2014,Why Eve and Mallory (Also) Love Webmasters - A Study on the Root Causes of SSL Misconfigurations,"Sascha Fahl, Yasemin Acar, Henning Perl, Matthew Smith",https://dl.acm.org/doi/pdf/10.1145/2590296.2590341,,,,Sascha_Fahl_2014.pdf,,
AsiaCCS,2014,YourPassword: Applying Feedback Loops to Improve Security Behavior of Managing Multiple Passwords,"Tiffany Hyun-Jin Kim, Colleen Stuart, Hsu-Chun Hsiao, Yue-Hsun Lin, Leon Zheng, Laura Dabbish, Sara Kiesler",https://www.cs.cmu.edu/~kiesler/publications/2014/2014_yourpassword.pdf,,,,Tiffany_Kim_2014.pdf,,
AsiaCCS,2014,Cyber Defenses for Physical Attacks and Insider Threats in Cloud Computing,"Jakub Szefer, Pramod Jamkhedkar, Diego Perez-Botero, Ruby Lee",https://dl.acm.org/doi/pdf/10.1145/2590296.2590310,,,,Jakub_Szefer_2014.pdf,,
AsiaCCS,2014,Monkey-in-the-browser: Malware and Vulnerabilities in Augmented Browsing Script Markets,"Steven Van Acker, Nick Nikiforakis, Lieven Desmet, Frank Piessens, Wouter Joosen",https://dl.acm.org/doi/pdf/10.1145/2590296.2590311,,,,Steven_VanAcker_2014.pdf,,
AsiaCCS,2014,IntentFuzzer: Detecting Capability Leaks of Android Applications,"Kun Yang, Lujue Zhou, Yongke Wang, Jianwei Zhuge, Haixin Duan",https://dl.acm.org/doi/pdf/10.1145/2590296.2590316,,,,Kun_Yang_2014.pdf,,
