Conference,Year,Title,Authors,PDF Link,File name,Code,Data,status_code,Comments,Assigned To
ACSAC,2013,CPS: stateful policy enforcement for control system device usage,Stephen McLaughlin,https://dl.acm.org/doi/pdf/10.1145/2523649.2523673,stephen_mclaughlin_2013,,,,,
ACSAC,2013,"Revisiting graphical passwords for augmenting, not replacing, text passwords","Murat Akpulat,Kemal Bicakci,Ugur Cil",https://dl.acm.org/doi/pdf/10.1145/2523649.2523672,murat_akpulat_2013,,,,,
ACSAC,2013,Pitfalls in the automated strengthening of passwords,"David Schmidt,Trent Jaeger",https://dl.acm.org/doi/pdf/10.1145/2523649.2523651,david_schmidt_2013,,,,,
ACSAC,2013,A building code for building code: putting what we know works to work,Carl E. Landwehr,https://dl.acm.org/doi/pdf/10.1145/2523649.2530278,carl_landwehr_2013,,,,,
ACSAC,2013,PRIME: private RSA infrastructure for memory-less encryption,"Behrad Garmany,Tilo Müller",https://dl.acm.org/doi/pdf/10.1145/2523649.2523656,behrad_garmany_2013,,,,,
ACSAC,2013,Do I know you?: efficient and privacy-preserving common friend-finder protocols and applications,"Marcin Nagy,Emiliano De Cristofaro,Alexandra Dmitrienko,N. Asokan,Ahmad-Reza Sadeghi",https://dl.acm.org/doi/pdf/10.1145/2523649.2523668,marcin_nagy_2013,Request Access via email,,-1,,
ACSAC,2013,GPU and CPU parallelization of honest-but-curious secure two-party computation,"Nathaniel Husted,Steven Myers,Abhi Shelat,Paul Grubbs",https://dl.acm.org/doi/pdf/10.1145/2523649.2523681,nathaniel_husted_2013,,,,,
ACSAC,2013,No attack necessary: the surprising dynamics of SSL trust relationships,"Johanna Amann,Robin Sommer,Matthias Vallentin,Seth Hall",https://dl.acm.org/doi/pdf/10.1145/2523649.2523665,johanna_amann_2013,,,,,
ACSAC,2013,Socket overloading for fun and cache-poisoning,"Amir Herzberg,Haya Shulman",https://dl.acm.org/doi/pdf/10.1145/2523649.2523662,amir_herzberg_2013,,,,,
ACSAC,2013,Beehive: large-scale log analysis for detecting suspicious activity in enterprise networks,"Ting-Fang Yen,Alina Oprea,Kaan Onarlioglu,Todd Leetham,William Robertson,Ari Juels,Engin Kirda",https://dl.acm.org/doi/pdf/10.1145/2523649.2523670,tingfang_yen_2013,,,,,
ACSAC,2013,Uncovering access control weaknesses and flaws with security-discordant software clones,"François Gauthier,Thierry Lavoie,Ettore Merlo",https://dl.acm.org/doi/pdf/10.1145/2523649.2523650,francois_gauthier_2013,,,,,
ACSAC,2013,A portable user-level approach for system-wide integrity protection,"Wai-Kit Sze,R. Sekar",https://dl.acm.org/doi/pdf/10.1145/2523649.2523655,wai_kit_sze_2013,,,,,
ACSAC,2013,"Subverting system authentication with context-aware, reactive virtual machine introspection","Yangchun Fu,Zhiqiang Lin,Kevin W. Hamlen",https://dl.acm.org/doi/pdf/10.1145/2523649.2523664,yangchun_fu_2013,,,,,
ACSAC,2013,Seeing is not believing: visual verifications through liveness analysis using mobile devices,"Mahmudur Rahman,Umut Topkara,Bogdan Carbunar",https://dl.acm.org/doi/pdf/10.1145/2523649.2523666,mahmudur_rahman_2013,,,,,
ACSAC,2013,Crossover: secure and usable user interface for mobile devices with multiple isolated OS personalities,"Matthias Lange,Steffen Liebergeld",https://dl.acm.org/doi/pdf/10.1145/2523649.2523667,matthias_lange_2013,,,,,
ACSAC,2013,PatchDroid: scalable third-party security patches for Android devices,"Collin Mulliner,Jon Oberheide,William Robertson,Engin Kirda",https://dl.acm.org/doi/pdf/10.1145/2523649.2523679,collin_mulliner_2013,,,,,
ACSAC,2013,A comprehensive black-box methodology for testing the forensic characteristics of solid-state drives,"Gabriele Bonetti,Marco Viglione,Alessandro Frossi,Federico Maggi,Stefano Zanero",https://dl.acm.org/doi/pdf/10.1145/2523649.2523660,gabriele_bonetti_2013,,,,,
ACSAC,2013,Implementation and implications of a stealth hard-drive backdoor,"Jonas Zaddach,Anil Kurmus,Davide Balzarotti,Erik-Oliver Blass,Aurélien Francillon,Travis Goodspeed,Moitrayee Gupta,Ioannis Koltsidas",https://dl.acm.org/doi/pdf/10.1145/2523649.2523661,jonas_zaddach_2013,,,,,
ACSAC,2013,SPIDER: stealthy binary program instrumentation and debugging via hardware virtualization,"Zhui Deng,Xiangyu Zhang,Dongyan Xu",https://dl.acm.org/doi/pdf/10.1145/2523649.2523675,zhui_deng_2013,,,,,
ACSAC,2013,DR BACA: dynamic role based access control for Android,"Felix Rohrer,Yuting Zhang,Lou Chitkushev,Tanya Zlateva",https://dl.acm.org/doi/pdf/10.1145/2523649.2523676,felix_rohrer_2013,,,,,
ACSAC,2013,Control-flow restrictor: compiler-based CFI for iOS,"Jannik Pewny,Thorsten Holz",https://dl.acm.org/doi/pdf/10.1145/2523649.2523674,jannik_pewny_2013,,,,,
ACSAC,2013,FireDroid: hardening security in almost-stock Android,"Giovanni Russello,Arturo Blas Jimenez,Habib Naderi,Wannes van der Mark",https://dl.acm.org/doi/pdf/10.1145/2523649.2523678,giovanni_russello_2013,,,,,
ACSAC,2013,SilverLine: preventing data leaks from compromised web applications,"Yogesh Mundada,Anirudh Ramachandran,Nick Feamster",https://dl.acm.org/doi/pdf/10.1145/2523649.2523663,yogesh_mundada_2013,,,,,
ACSAC,2013,Validating web content with senser,"Jordan Wilberding,Andrew Yates,Micah Sherr,Wenchao Zhou",https://dl.acm.org/doi/pdf/10.1145/2523649.2523669,jordan_wilberding_2013, https://security.cs.georgetown.edu/senser/,,404,,
ACSAC,2013,Auto-FBI: a user-friendly approach for secure access to sensitive content on the web,"Mohsen Zohrevandi,Rida A. Bazzi",https://dl.acm.org/doi/pdf/10.1145/2523649.2523683,mohsen_zohrevandi_2013,,,,,
ACSAC,2014,Taking two-factor to the next level: protecting online poker banking healthcare and other applications,Aviel D. Rubin,https://dl.acm.org/doi/pdf/10.1145/2664243.2684461,aviel_rubin_2014,,,,,
ACSAC,2014,Hot-hardening: getting more out of your security settings,"Sebastian Biedermann,Stefan Katzenbeisser,Jakub Szefer",https://dl.acm.org/doi/pdf/10.1145/2664243.2664246,sebastian_biedermann_2014,http://caslab.eng.yale.edu/code,,-1,,
ACSAC,2014,Challenges and implications of verifiable builds for security-critical open-source software,"Xavier de Carné de Carnavalet,  Mohammad Mannan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664288,xavier_carnavalet_2014,,,200,,
ACSAC,2014,Cloud radar: near real-time detection of security failures in dynamic virtualized infrastructures,"Sören Bleikertz,  Carsten Vogel,  Thomas Gro",https://dl.acm.org/doi/pdf/10.1145/2664243.2664274,soren_bleikertz_2014,,,,,
ACSAC,2014,Scippa: system-centric IPC provenance on Android,"Michael Backes, Sven Bugiel, Sebastian Gerling",https://dl.acm.org/doi/pdf/10.1145/2664243.2664264,micheal_backes_2014,http://infsec.cs.uni-saarland.de/projects/scippa/,,-1,,
ACSAC,2014,Android security framework: extensible multi-layered access control on Android,"Michael Backes, Sven Bugiel, Sebastian Gerling, Philipp von Styp-Rekowsky",https://dl.acm.org/doi/pdf/10.1145/2664243.2664265,micheal_backes_02014,https://www.cispa-stanford.org/projects/asf/,,404,,
ACSAC,2014,Towards a scalable resource-driven approach for detecting repackaged Android applications,"Yuru Shao,  Xiapu Luo,  Chenxiong Qian,  Pengfei Zhu,  Lei Zhang",https://dl.acm.org/doi/pdf/10.1145/2664243.2664275,yuru_shao_2014,,,,,
ACSAC,2014,TroGuard: context-aware protection against web-based socially engineered trojans,"Rui Han,  Alejandro Mesa, Mihai Christodorescu, Saman Zonouz",https://dl.acm.org/doi/pdf/10.1145/2664243.2664270,rui_han_2014,,,,,
ACSAC,2014,Spam ain't as diverse as it seems: throttling OSN spam with templates underneath,"Hongyu Gao, Yi Yang, Kai Bu, Yan Chen, Doug Downey, Kathy Lee, Alok Choudhary",https://dl.acm.org/doi/pdf/10.1145/2664243.2664251,hongyu_gao_2014,,,,,
ACSAC,2014,A taste of tweets: reverse engineering Twitter spammers,"Chao Yang,  Jialong Zhang, Gu Guofei",https://dl.acm.org/doi/pdf/10.1145/2664243.2664258,chao_yang_2014,,,,,
ACSAC,2014,New models of cache architectures characterizing information leakage from cache side channels,"Tianwei Zhang, Ruby B. Lee",https://dl.acm.org/doi/pdf/10.1145/2664243.2664273,zhang_tianwei_2014,,,,,
ACSAC,2014,ICE: a passive high-speed state-continuity scheme,"Raoul Strackx, Bart Jacobs, Frank Piessens",https://dl.acm.org/doi/pdf/10.1145/2664243.2664259,strackx_raoul_2014,http://cs.kuleuven.be/software/sce/,,-1,,
ACSAC,2014,Interrupt-oriented bugdoor programming: a minimalist approach to bugdooring embedded systems firmware,"Samuel Junjie Tan, Sergey Bratus, Travis Goodspeed",https://dl.acm.org/doi/pdf/10.1145/2664243.2664268,tan_samuel_2014,,,,,
ACSAC,2014,Through the eye of the PLC: semantic security monitoring for industrial processes,"Dina Hadžiosmanović, Robin Sommer, Emmanuele Zambon, Pieter H. Hartel",https://dl.acm.org/doi/pdf/10.1145/2664243.2664277,hadziosmanovic_dina_2014,,,,,
ACSAC,2014,CPS: market analysis of attacks against demand response in the smart grid,"Carlos Barreto, Alvaro A. Cárdenas, Nicanor Quijano, Eduardo Mojica-Nava",https://dl.acm.org/doi/pdf/10.1145/2664243.2664284,barreto_carlos_2014,,,,,
ACSAC,2014,CPS: driving cyber-physical systems to unsafe operating conditions by timing DoS attacks on sensor signals,"Marina Krotofil, Alvaro A. Cárdenas, Bradley Manning, Jason Larsen",https://dl.acm.org/doi/pdf/10.1145/2664243.2664290,krotofil_marina_2014,,,,,
ACSAC,2014,Uncovering network tarpits with degreaser,"Lance Alt, Robert Beverly, Alberto Dainotti",https://dl.acm.org/doi/pdf/10.1145/2664243.2664285,alt_lance_2014,,,,,
ACSAC,2014,Network dialog minimization and network dialog diffing: two novel primitives for network security applications,"M. Zubair Rafique, Juan Caballero, Christophe Huygens, Wouter Joosen",https://dl.acm.org/doi/pdf/10.1145/2664243.2664261,rafique_zubair_2014,,,,,
ACSAC,2014,Lightweight authentication of freshness in outsourced key-value stores,"Ting Wang, Ling Liu, Xin Hu, Jiyong Jang",https://dl.acm.org/doi/pdf/10.1145/2664243.2664244,tang_yuzhe_2014,,,,,
ACSAC,2014,SEER: practical memory virus scanning as a service,"Jason Gionta, Ahmed Azab, William Enck, Peng Ning, Xiaolan Zhang",https://dl.acm.org/doi/pdf/10.1145/2664243.2664271,gionta_jason_2014,,,,,
ACSAC,2014,MACE: high-coverage and robust memory analysis for commodity operating systems,"Qian Feng,, Aravind Prakash, Heng Yin, Zhiqiang Lin",https://dl.acm.org/doi/pdf/10.1145/2664243.2664248,feng_qian_2014,,,,,
ACSAC,2014,Assisted deletion of related content,"Hubert Ritzdorf, Nikolaos Karapanos, Srdjan Čapkun",https://dl.acm.org/doi/pdf/10.1145/2664243.2664287,ritzdorf_hubert_2014,,,,,
ACSAC,2014,Morpheus: automatically generating heuristics to detect Android emulators,"Jing, Yiming; Zhao, Ziming; Ahn, Gail-Joon; Hu, Hongxin",https://dl.acm.org/doi/pdf/10.1145/2664243.2664250,jing_zhao_2014,http://goo.gl/FXspKw,,404,,
ACSAC,2014,Design and implementation of an Android host-based intrusion prevention system,"Sun, Mingshen; Zheng, Min; Lui, John C. S.; Jiang, Xuxian",https://dl.acm.org/doi/pdf/10.1145/2664243.2664245,mingshen_sun_2014,,,,,
ACSAC,2014,MoRePriv: mobile OS support for application personalization and privacy,"Davidson, Drew; Fredrikson, Matt; Livshits, Benjamin",https://dl.acm.org/doi/pdf/10.1145/2664243.2664266,drew_davidson_2014,,,,,
ACSAC,2014,IMSI-catch me if you can: IMSI-catcher-catchers,"Dabrowski, Adrian; Pianta, Nicola; Klepp, Thomas; Mulazzani, Martin; Weippl, Edgar",https://dl.acm.org/doi/pdf/10.1145/2664243.2664272,adrian_dabrowski_2014,,,,,
ACSAC,2014,Advanced Wi-Fi attacks using commodity hardware,"Vanhoef, Mathy; Piessens, Frank",https://dl.acm.org/doi/pdf/10.1145/2664243.2664260,mathy_vanhoef_2014,,,,,
ACSAC,2014,Whitewash: outsourcing garbled circuit generation for mobile devices,"Carter, Henry; Lever, Charles; Traynor, Patrick",https://dl.acm.org/doi/pdf/10.1145/2664243.2664255,henry_carter_2014,www.foryourphone.only.org,,-1,,
ACSAC,2014,Using automatic speech recognition for attacking acoustic CAPTCHAs: the trade-off between usability and security,"Meutzner, Hendrik; Nguyen, Viet-Hung; Holz, Thorsten; Kolossa, Dorothea",https://dl.acm.org/doi/pdf/10.1145/2664243.2664262,hendrik_meutzner_2014,,available on request,,,
ACSAC,2014,Understanding visual perceptions of usability and security of Android's graphical password pattern,"Aviv, Adam J.; Fichter, Dane",https://dl.acm.org/doi/pdf/10.1145/2664243.2664253,adam_aviv_2014,,,,,
ACSAC,2014,It's the psychology stupid: how heuristics explain software vulnerabilities and how priming can illuminate developer's blind spots,"Oliveira, Daniela; Rosenthal, Marissa; Morin, Nicole; Yeh, Kuo-Chuan; Cappos, Justin; Zhuang, Yanyan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664254,daniela_oliveira_2014,,,,,
ACSAC,2014,Exploring and mitigating privacy threats of HTML5 geolocation API,"Kim, Hyungsub; Lee, Sangho; Kim, Jong",https://dl.acm.org/doi/pdf/10.1145/2664243.2664247,hyungsub_kim_2014,,,,,
ACSAC,2014,Differentially private data aggregation with optimal utility,"Eigner, Fabienne; Kate, Aniket; Maffei, Matteo; Pampaloni, Francesca; Pryvalov, Ivan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664263,fabienne_eigner_2014,http://crypsys.mmci.uni-saarland.de/projects/ArithmeticSMPC,,-1,,
ACSAC,2014,On the privacy provisions of Bloom filters in lightweight bitcoin clients,"Gervais, Arthur; Capkun, Srdjan; Karame, Ghassan O.; Gruber, Damian",https://dl.acm.org/doi/pdf/10.1145/2664243.2664267,arthur_gervais_2014,,,,,
ACSAC,2014,OSPF vulnerability to persistent poisoning attacks: a systematic analysis,"Nakibly, Gabi and Sosnovich, Adi and Menahem, Eitan and Waizel, Ariel and Elovici, Yuval",https://dl.acm.org/doi/pdf/10.1145/2664243.2664278,nakibly_gabi_2014,,,,,
ACSAC,2014,Less is more: cipher-suite negotiation for DNSSEC,"Herzberg, Amir and Shulman, Haya and Crispo, Bruno",https://dl.acm.org/doi/pdf/10.1145/2664243.2664283,herzberg_amir_2014,,,,,
ACSAC,2014,DNS authentication as a service: preventing amplification attacks,"Herzberg, Amir and Shulman, Haya",https://dl.acm.org/doi/pdf/10.1145/2664243.2664281,herzberg_amir_02014,,,,,
ACSAC,2014,Relation extraction for inferring access control rules from natural language artifacts,"Slankas, John and Xiao, Xusheng and Williams, Laurie and Xie, Tao",https://dl.acm.org/doi/pdf/10.1145/2664243.2664280,slankas_john_2014,https://sites.google.com/site/AccessControlRuleExtraction,,,,
ACSAC,2014,Centrality metrics of importance in access behaviors and malware detections,"Mao, Weixuan and Cai, Zhongmin and Guan, Xiaohong and Towsley, Don",https://dl.acm.org/doi/pdf/10.1145/2664243.2664286,mao_weixuan_2014,,,,,
ACSAC,2014,Scalability fidelity and stealth in the DRAKVUF dynamic malware analysis system,"Lengyel, Tamas K. and Maresca, Steve and Payne, Bryan D. and Webster, George D. and Vogl, Sebastian and Kiayias, Aggelos",https://dl.acm.org/doi/pdf/10.1145/2664243.2664252,lengyel_tamas_2014,,,,,
ACSAC,2014,Towards automated integrity protection of C++ virtual function tables in binary programs,"Gawlik, Robert and Holz, Thorsten",https://dl.acm.org/doi/pdf/10.1145/2664243.2664249,gawlik_robert_2014,https://github.com/RUB-SysSec/WindowsVTV,,200,,
ACSAC,2014,Leveraging semantic signatures for bug search in binary programs,"Pewny, Jannik and Schuster, Felix and Bernhard, Lukas and Holz, Thorsten and Rossow, Christian",https://dl.acm.org/doi/pdf/10.1145/2664243.2664269,pewny_jannik_2014,,,,,
ACSAC,2014,IntFlow: improving the accuracy of arithmetic error detection using information flow tracking,"Pomonis, Marios and Petsios, Theofilos and Jee, Kangkook and Polychronakis, Michalis and Keromytis, Angelos D.",https://dl.acm.org/doi/pdf/10.1145/2664243.2664282,pomonis_marios_2014,https://github.com/nettrino/IntFlow,,200,,
ACSAC,2014,CPS: beyond usability: applying value sensitive design based methods to investigate domain characteristics for security for implantable cardiac devices,"Denning, Tamara and Kramer, Daniel B. and Friedman, Batya and Reynolds, Matthew R. and Gill, Brian and Kohno, Tadayoshi",https://dl.acm.org/doi/pdf/10.1145/2664243.2664289,denning_tamara_2014,,,,,
ACSAC,2014,A security evaluation of AIS automated identification system,"Balduzzi, Marco and Pasta, Alessandro and Wilhoit, Kyle",https://dl.acm.org/doi/pdf/10.1145/2664243.2664257,balduzzi_marco_2014,https://iseclab.org/people/embyte/,,404,,
ACSAC,2014,NodeSentry: least-privilege library integration for server-side JavaScript,"De Groef, Willem and Massacci, Fabio and Piessens, Frank",https://dl.acm.org/doi/pdf/10.1145/2664243.2664276,degroef_willem_2014,https://distrinet.cs.kuleuven.be/software/NodeSentry/,,,,
ACSAC,2014,TrueClick: automatically distinguishing trick banners from genuine download links,"Duman, Sevtap and Onarlioglu, Kaan and Ulusoy, Ali Osman and Robertson, William and Kirda, Engin",https://dl.acm.org/doi/pdf/10.1145/2664243.2664279,duman_sevtap_2014,,,,,
ACSAC,2014,JShield: towards real-time and vulnerability-based detection of polluted drive-by download attacks,"Cao, Yinzhi and Pan, Xiang and Chen, Yan and Zhuge, Jianwei",https://dl.acm.org/doi/pdf/10.1145/2664243.2664256,cao_yinzhi_2014,,,,,
ACSAC,2015,Evaluating the Flexibility of the Java Sandbox,"Coker, Zack, Maass, Michael, Ding, Tianyuan, Le Goues, Claire, Sunshine, Joshua",https://dl.acm.org/doi/pdf/10.1145/2818000.2818003,zack_coker_2015,https://github.com/SecurityManagerCodeBase/,,200,,
ACSAC,2015,Emerging Image Game CAPTCHAs for Resisting Automated and Human-Solver Relay Attacks,"Gao, Song, Mohamed, Manar, Saxena, Nitesh, Zhang, Chengcui",https://dl.acm.org/doi/pdf/10.1145/2818000.2818006,song_gao_2015,,,,,
ACSAC,2015,On the Security and Usability of Crypto Phones,"Shirvanian, Maliheh, Saxena, Nitesh",https://dl.acm.org/doi/pdf/10.1145/2818000.2818007,maliheh_shirvanian_2015,,,,,
ACSAC,2015,Decentralized Authorization and Privacy-Enhanced Routing for Information-Centric Networks,"Raykova, Mariana, Lakhani, Hasnain, Kazmi, Hasanat, Gehani, Ashish",https://dl.acm.org/doi/pdf/10.1145/2818000.2818001,mariana_raykova_2015,,,,,
ACSAC,2015,Know Your Achilles' Heel: Automatic Detection of Network Critical Services,"Zand, Ali, Houmansadr, Amir, Vigna, Giovanni, Kemmerer, Richard, Kruegel, Christopher",https://dl.acm.org/doi/pdf/10.1145/2818000.2818012,ali_zand_2015,,,,,
ACSAC,2015,Proactive Security Analysis of Changes in Virtualized Infrastructures,"Bleikertz, S�ren, Gro�, Thomas,  M�dersheim, Sebastian",https://dl.acm.org/doi/pdf/10.1145/2818000.2818034,soren_bleikertz_2015,,,,,
ACSAC,2015,Vulnerability Assessment of OAuth Implementations in Android Applications,"Wang, Hui, Zhang, Yuanyuan, Li, Juanru, Liu, Hui, Yang, Wenbo, Li, Bodong, Gu, Dawu",https://dl.acm.org/doi/pdf/10.1145/2818000.2818024,hui_wang_2015,,,,,
ACSAC,2015,BareDroid: Large-Scale Analysis of Android Apps on Real Devices,"Mutti, Simone, Fratantonio, Yanick, Bianchi, Antonio, Invernizzi, Luca, Corbetta, Jacopo, Kirat, Dhilung, Kruegel, Christopher, Vigna, Giovanni",https://dl.acm.org/doi/pdf/10.1145/2818000.2818036,simone_mutti_2015,,,,,
ACSAC,2015,Experimental Study with Real-world Data for Android App Security Analysis using Machine Learning,"Roy, Sankardas, DeLoach, Jordan, Li, Yuping, Herndon, Nic, Caragea, Doina, Ou, Xinming, Ranganath, Venkatesh Prasad, Li, Hongmin, Guevara, Nicolais",https://dl.acm.org/doi/pdf/10.1145/2818000.2818038,sankardas_roy_2015,,,,,
ACSAC,2015,Control Flow and Code Integrity for COTS binaries: An Effective Defense Against Real-World ROP Attacks,"Zhang, Mingwei, Sekar, R.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818016,mingwei_zhang_2015,,,,,
ACSAC,2015,A Principled Approach for ROP Defense,"Qiao, Rui, Zhang, Mingwei, Sekar, R.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818021,rui_qiao_2015,,,,,
ACSAC,2015,Defeating ROP Through Denial of Stack Pivot,"Prakash, Aravind, Yin, Heng",https://dl.acm.org/doi/pdf/10.1145/2818000.2818023,aravind_prakash_2015,,,,,
ACSAC,2015,Handling Reboots and Mobility in 802.15.4 Security,"Krentz, Konrad-Felix, Meinel, Christoph",https://dl.acm.org/doi/pdf/10.1145/2818000.2818002,konrad_krentz_2015,,,,,
ACSAC,2015,Using Channel State Information for Tamper Detection in the Internet of Things,"Bagci, Ibrahim Ethem, Roedig, Utz, Martinovic, Ivan, Schulz, Matthias, Hollick, Matthias",https://dl.acm.org/doi/pdf/10.1145/2818000.2818028,ibrahim_bagci_2015,,,,,
ACSAC,2015,Using Visual Challenges to Verify the Integrity of Security Cameras,"Valente, Junia, A. C�rdenas, Alvaro",https://dl.acm.org/doi/pdf/10.1145/2818000.2818045,junia_valente_2015,,,,,
ACSAC,2015,JaTE: Transparent and Efficient JavaScript Confinement,"Tran, Tung, Pelizzi, Riccardo, Sekar, R.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818019,tung_tran_2015,http://www.seclab.cs.sunysb.edu/seclab/jate/,,200,,
ACSAC,2015,Cross-Site Framing Attacks,"Gelernter, Nethanel, Grinstein, Yoel, Herzberg, Amir",https://dl.acm.org/doi/pdf/10.1145/2818000.2818029,nethanel_gelernter_2015,https://sites.google.com/site/framingattacks/,,,,
ACSAC,2015,Covert Botnet Command and Control Using Twitter,"Pantic, Nick, Husain, Mohammad I.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818047,nick_pantic_2015,,,,,
ACSAC,2015,AuDroid: Preventing Attacks on Audio Channels in Mobile Devices,"Petracca, Giuseppe, Sun, Yuqiong, Jaeger, Trent, Atamli, Ahmad",https://dl.acm.org/doi/pdf/10.1145/2818000.2818005,giuseppe_petracca_2015,https://github.com/audroid,,200,,
ACSAC,2015,On the Robustness of Mobile Device Fingerprinting: Can Mobile Users Escape Modern Web-Tracking Mechanisms?,"Hupperich, Thomas, Maiorca, Davide, K�hrer, Marc, Holz, Thorsten, Giacinto, Giorgio",https://dl.acm.org/doi/pdf/10.1145/2818000.2818032,thomas_hupperich_2015,,,,,
ACSAC,2015,Grab 'n Run: Secure and Practical Dynamic Code Loading for Android Applications,"Falsina, Luca, Fratantonio, Yanick, Zanero, Stefano, Kruegel, Christopher, Vigna, Giovanni, Maggi, Federico",https://dl.acm.org/doi/pdf/10.1145/2818000.2818042,luca_falsina_2015,http://grabnrun.org/,,-1,,
ACSAC,2015,Provenance-based Integrity Protection for Windows,"Sze, Wai Kit, Sekar, R.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818011,wai_sze_2015,http://seclab.cs.stonybrook.edu/download,,200,,
ACSAC,2015,MOSE: Live Migration Based On-the-Fly Software Emulation,"Wei, Jinpeng, Yan, Lok K., Hakim, Muhammad Azizul",https://dl.acm.org/doi/pdf/10.1145/2818000.2818022,jinpeng_wei_2015,https://users.cs.fiu.edu/~weijp/MOSE/demo3.html,,404,,
ACSAC,2015,Privacy-preserving Virtual Machine,"Li, Tianlin, Hu, Yaohui, Yang, Ping, Gopalan, Kartik",https://dl.acm.org/doi/pdf/10.1145/2818000.2818044,tianlin_li_2015,,,,,
ACSAC,2015,Soteria: Offline Software Protection within Low-cost Embedded Devices,"G�tzfried, Johannes, M�ller, Tilo, de Clercq, Ruan, Maene, Pieter, Freiling,Felix, Verbauwhede, Ingrid",https://dl.acm.org/doi/pdf/10.1145/2818000.2856129,johannes_gotzfried_2015,https://www.cs1.tf.fau.de/research/system-security-group/soteria/,,200,,
ACSAC,2015,PIE: Parser Identification in Embedded Systems,"Cojocar, Lucian, Zaddach, Jonas, Verdult, Roel, Bos, Herbert, Francillon, Aur",https://dl.acm.org/doi/pdf/10.1145/2818000.2818035,lucian_cojocar_2015,,,-1,,
ACSAC,2015,Defending Against Malicious USB Firmware with GoodUSB,"Tian, Dave Jing, Bates, Adam, Butler, Kevin",https://dl.acm.org/doi/pdf/10.1145/2818000.2818040,dave_tian_2015,,,,,
ACSAC,2015,Proximity Verification for Contactless Access Control and Authentication Systems,"Ranganathan, Aanjhan, Danev, Boris, Capkun, Srdjan",https://dl.acm.org/doi/pdf/10.1145/2818000.2818004,aanjhan_ranganathan_2015,,,,,
ACSAC,2015,Scalable and Secure Concurrent Evaluation of History-based Access Control Policies,"Decat, Maarten, Lagaisse, Bert, Joosen, Wouter",https://dl.acm.org/doi/pdf/10.1145/2818000.2818008,maarten_decat_2015,https://people.cs.kuleuven.be/~%e2%88%bcmaarten.decat/acsac2015/,,403,,
ACSAC,2015,Entity-Based Access Control: supporting more expressive access control policies,"Bogaerts, Jasper, Decat, Maarten, Lagaisse, Bert, Joosen, Wouter",https://dl.acm.org/doi/pdf/10.1145/2818000.2818009,jasper_bogaerts_2015,https://people.cs.kuleuven.be/~jasper.bogaerts/auctoritas/,,403,,
