Paper Title,Author,Link to Paper,Link for Code,Conference,Year,"4,6",ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments
Grid Shock: Coordinated Load-Changing Attacks on Power Grids: The Non-Smart Power Grid is Vulnerable to Cyber Attacks as Well,"Dabrowski, Adrian and Ullrich, Johanna and Weippl, Edgar R.",https://dl.acm.org/doi/pdf/10.1145/3134600.3134639,http://seclab.tuwien.ac.at/people/atrox/gridshock-dabrowski.zip,ACSAC,2017,4,-1,1,-1,None,None,,-1,-1,None,1,"partially sponsored with the CyPhySec project
by the Bridge FrÃĳhphase program and the COMET K1 program,
both by the Austrian Research Promoting Agency (FFG). Isometric
icons from the Lincity-ng project in Figure 1 distributed under
CC-BY-SA-v2",0,Website down--no way to retreive artifacts.
Measuring Popularity of Cryptographic Libraries in Internet-Wide Scans,"Nemec, Matus and Klinec, Dusan and Svenda, Petr and Sekan, Peter and Matyas, Vashek",https://dl.acm.org/doi/pdf/10.1145/3134600.3134612,https://github.com/crocs-muni/classifyRSAkey,ACSAC,2017,0,2,1,2,08/17/2020,Java,,0,-1,None,1,"support of the Czech Science Foundation under project GA16-08565S. The
access to the computing and storage resources of National Grid Infrastructure MetaCentrum (LM2010005) is also greatly appreciated",0,"Some linked data was unavailable (Google Drive 404'd). It wasn't part of the artifact per se, but it made it so that we couldn't reproduce results."
n-Auth: Mobile Authentication Done Right,"Peeters, Roel and Hermans, Jens and Maene, Pieter and Grenman, Katri and Halunen, Kimmo and Häikiö, Juha",https://dl.acm.org/doi/pdf/10.1145/3134600.3134613,https://www.n-auth.com/dev/,ACSAC,2017,0,-1,0,-1,None,None,,-1,-1,Mobile Phone,1,None,-1,Website down--no way to retreive artifacts.
Life-experience passwords (LEPs),"Simon Woo, Elsi Kaiser, Ron Artstein, Jelena Mirkovic",https://dl.acm.org/doi/pdf/10.1145/2991079.2991107,http://leps.isi.edu/demo,ACSAC,2016,0,-1,3,-1,None,None,,-1,-1,None,1,None,-1,Website down--no way to retreive artifacts.
ErsatzPasswords: Ending Password Cracking and Detecting Password Leakage,"Almeshekah, Mohammed H., Gutierrez, Christopher N., Atallah, Mikhail J., Spafford, Eugene H.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818015,https://github.com/cngutierr/ErsatzPassword,ACSAC,2016,0,0,1,2,01/16/2016,C,1,,,None,1," supported by National Science Foundation Grants CPS-1329979, Science and Technology Center CCF-0939370; by an NPRP grant from the Qatar National Research Fund; and by sponsors of the Center for Education and Research in Information Assurance and Security",,Requires BSD to run.
Scalable and Secure Concurrent Evaluation of History-based Access Control Policies,"Decat, Maarten, Lagaisse, Bert, Joosen, Wouter",https://dl.acm.org/doi/pdf/10.1145/2818000.2818008,https://people.cs.kuleuven.be/~%e2%88%bcmaarten.decat/acsac2015/,ACSAC,2015,3,-1,0,-1,None,None,,-1,-1,None,1,None,-1,Website 403'd--no way to retreive artifacts.
Entity-Based Access Control: supporting more expressive access control policies,"Bogaerts, Jasper, Decat, Maarten, Lagaisse, Bert, Joosen, Wouter",https://dl.acm.org/doi/pdf/10.1145/2818000.2818009,https://people.cs.kuleuven.be/~jasper.bogaerts/auctoritas/,ACSAC,2015,3,-1,0,-1,None,None,,-1,-1,None,1,"partially funded by the Research Fund KU Leuven, and by the EU FP7 project NESSoS. With the financial support from the Prevention of and Fight against Crime Programme of the European Union (B-CCENTRE)",-1,Website 403'd--no way to retreive artifacts.
MOSE: Live Migration Based On-the-Fly Software Emulation,"Wei, Jinpeng, Yan, Lok K., Hakim, Muhammad Azizul",https://dl.acm.org/doi/pdf/10.1145/2818000.2818022,https://users.cs.fiu.edu/~weijp/MOSE/demo3.html,ACSAC,2015,"1,5",-1,3,-1,None,None,,-1,-1,None,1,supported by the United States Air Force Research Laboratory (AFRL) Visiting Faculty Research Program (VFRP) and its extension grant,-1,Website 404'd--no way to retrieve atrifacts.
Grab 'n Run: Secure and Practical Dynamic Code Loading for Android Applications,"Falsina, Luca, Fratantonio, Yanick, Zanero, Stefano, Kruegel, Christopher, Vigna, Giovanni, Maggi, Federico",https://dl.acm.org/doi/pdf/10.1145/2818000.2818042,http://grabnrun.org/,ACSAC,2015,0,-1,1,-1,None,None,,-1,-1,None,1,"based on research sponsored by DARPA under agreements number FA8750-12-2-0101 and FA8750-
15-2-0084. The work was also supported by the Office of Naval Research (ONR) under grant N000140911042, the Army Research Office (ARO) under grant W911NF0910553, by the National Science Foundation under grant CNS-1408632, Secure Business Austria, and MIUR FACE Project No. RBFR13AJFT.",-1,Website 404'd--no way to retrieve atrifacts.
A security evaluation of AIS automated identification system,"Balduzzi, Marco and Pasta, Alessandro and Wilhoit, Kyle",https://dl.acm.org/doi/pdf/10.1145/2664243.2664257,https://iseclab.org/people/embyte/,ACSAC,2014,"2,7",-1,1,-1,None,None,,-1,-1,None,1,None,-1,Website 404'd--no way to retrieve atrifacts.
NodeSentry: least-privilege library integration for server-side JavaScript,"De Groef, Willem and Massacci, Fabio and Piessens, Frank",https://dl.acm.org/doi/pdf/10.1145/2664243.2664276,https://distrinet.cs.kuleuven.be/software/NodeSentry/,ACSAC,2014,2,2,0,2,01/23/2023,JavaScript,,2,-1,None,1,"partially funded by the Research Fund KU Leuven, the EU-funded FP7 projects NESSoS and WebSand, the IWT-SBO project SPION and the Italian Project PRIN-MIUR-TENACE. With the financial support from the Prevention of and Fight against Crime Programme of the European Union European Commission – Directorate-General Home Affairs",-1,"Had a nice npm install endpoint, but the actual program wouldn't run because of obsolete dependency APIs that have been removed."
Relation extraction for inferring access control rules from natural language artifacts,"Slankas, John and Xiao, Xusheng and Williams, Laurie and Xie, Tao",https://dl.acm.org/doi/pdf/10.1145/2664243.2664280,https://sites.google.com/site/AccessControlRuleExtraction,ACSAC,2014,0,-1,2,-1,None,None,,-1,-1,None,1,Supported by the USA National Security Agency (NSA) Science of Security Lablet.,-1,Google site missing data (404'd).
Differentially private data aggregation with optimal utility,"Eigner, Fabienne; Kate, Aniket; Maffei, Matteo; Pampaloni, Francesca; Pryvalov, Ivan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664263,http://crypsys.mmci.uni-saarland.de/projects/ArithmeticSMPC,ACSAC,2014,0,-1,1,-1,None,None,,-1,-1,None,1,"supported by the German research foundation (DFG) through the Emmy Noether program and the Cluster of Excellence on Multimodal Computing and Interaction (MMCI), and by the German Federal Ministry of Education and Research (BMBF) through the Center for IT-Security, Privacy and Accountability (CISPA)",-1,Website down--no way to retreive artifacts.
Whitewash: outsourcing garbled circuit generation for mobile devices,"Carter, Henry; Lever, Charles; Traynor, Patrick",https://dl.acm.org/doi/pdf/10.1145/2664243.2664255,www.foryourphoneonly.org,ACSAC,2014,0,-1,1,-1,None,None,,-1,-1,None,1,based on research sponsored by DARPA under agreement number FA8750-11-2-0211,-1,Website down--no way to retreive artifacts.
ICE: a passive high-speed state-continuity scheme,"Raoul Strackx, Bart Jacobs, Frank Piessens",https://dl.acm.org/doi/pdf/10.1145/2664243.2664259,http://cs.kuleuven.be/software/sce/,ACSAC,2014,3,-1,1,-1,None,None,,-1,-1,None,1,"supported in part by the Intel Lab’s University Research Office. This research is also partially funded by the Research Fund KU Leuven, and by the EU FP7 project NESSoS",-1,Website down--no way to retreive artifacts.
Scippa: system-centric IPC provenance on Android,"Michael Backes, Sven Bugiel, Sebastian Gerling",https://dl.acm.org/doi/pdf/10.1145/2664243.2664264,http://infsec.cs.uni-saarland.de/projects/scippa/,ACSAC,2014,0,-1,1,-1,None,None,,-1,-1,None,1,"supported by the German Ministry for Education and Research (BMBF) through funding for the Center for IT-Security, Privacy and Accountability (CISPA)",-1,Website 404'd--no way to retrieve atrifacts.
Android security framework: extensible multi-layered access control on Android,"Michael Backes, Sven Bugiel, Sebastian Gerling, Philipp von Styp-Rekowsky",https://dl.acm.org/doi/pdf/10.1145/2664243.2664265,http://infsec.cs.uni-saarland.de/projects/asf/,ACSAC,2014,0,-1,1,-1,None,None,,-1,-1,None,1,"supported by the German Ministry for Education and Research (BMBF) through funding for the Center for IT-Security, Privacy and Accountability (CISPA)",-1,Website 404'd--no way to retrieve atrifacts.
Hot-hardening: getting more out of your security settings,"Sebastian Biedermann,Stefan Katzenbeisser,Jakub Szefer",https://dl.acm.org/doi/pdf/10.1145/2664243.2664246,http://caslab.eng.yale.edu/code,ACSAC,2014,0,-1,1,-1,None,None,,-1,-1,None,1,funded by the German Federal Ministry of Education and Research (BMBF) under grant no. ”01C12S01V”,-1,Website down--no way to retreive artifacts.
Challenges and implications of verifiable builds for security-critical open-source software,"Xavier de Carné de Carnavalet,  Mohammad Mannan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664288,https://madiba.encs.concordia.ca/~x_decarn/truecrypt-binaries-analysis/,ACSAC,2014,0,-1,3,1,None,None,,-1,-1,None,1,supported in part by an NSERC Discovery Grant and an FRQNT nouveau chercheur grant,-1,Website gave detailed pictures outlining binary differences across builds; was very informative to visualize research.
Validating web content with senser,"Jordan Wilberding,Andrew Yates,Micah Sherr,Wenchao Zhou",https://dl.acm.org/doi/pdf/10.1145/2523649.2523669, https://security.cs.georgetown.edu/senser/,ACSAC,2013,0,-1,1,-1,None,None,,-1,-1,None,1,"supported by the National Science Foundation through grants CNS-1149832, CNS-1064986, CNS-1204347, and CNS-1223825. This material is based upon work supported by the Defense Advanced Research Project Agency (DARPA) and Space and Naval Warfare Systems Center Pacific under Contract No. N66001-11-C-4020",-1,Website 404'd--no way to retrieve atrifacts.
PISKES: Pragmatic Internet-Scale Key-Establishment System,Benjamin Rothenberger and Dominik Ross and Markus Legner and Adrian Perrig,https://dl.acm.org/doi/pdf/10.1145/3320269.3384743,https://github.com/benrothen/piskes-verification,AsiaCCS,2020,1,0,1,2,03/13/2020,Tamarin,,0,1,None,1,None,-1,
Exploiting Determinism in Lattice-based Signatures: Practical Fault Attacks on pqm4 Implementations of NIST Candidates,"Prasanna Ravi,Mahabir Prasad Jhanwar,James Howe,Anupam Chattopadhyay,Shivam Bhasin",https://dl.acm.org/doi/pdf/10.1145/3321705.3329821,https://github.com/jameshoweee/dilithium_forgery,AsiaCCS,2019,1,0,1,2,05/15/2019,C,,0,-1,None,1,None,-1,"Required unmentioned dependencies to compile, but fine other than that. No instructions on how to run test scripts, so no way to reproduce."
Unity is strength! Combining Attestation and Measurements Inspection to handle Malicious Data Injections in Wireless Sensor Networks,"Vittorio P. Illiano, Rodrigo V. Steiner, Emil C. Lupu",https://dl.acm.org/doi/pdf/10.1145/3098243.3098249,https://pure.royalholloway.ac.uk/portal/ files/28145762/ProVerif Model.zip,WiSec,2017,0,-1,1,-1,None,None,,-1,-1,None,1,"supported by the Brazilian National Council for
Scientific and Technological Development (CNPq) under Grant
No. 206707/2014-2 awarded to Rodrigo Vieira Steiner, and by the
UK Engineering and Physical Sciences Research Council (EPSRC)
under Grant No. 1391446 awarded to Viorio Paolo Illiano.",-1,Website 404'd--no way to retreive artifacts.
False Sense of Security: A Study on the Effectivity of Jailbreak Detection in Banking Apps,"Ansgar Kellner, Micha Horlboge, Konrad Rieck, Christian Wressnegger",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8806743,https://dev.sec.tu-bs.de/ios/,EuroS&P,2019,0,-1,1,-1,None,None,,-1,-1,None,1,German Federal Ministry of Education and Research (BMBF) under the projects VAMOS (16KIS0534) and FIDI (16KIS0786K).,-1,Website down--no way to retreive artifacts.
SoK: Using Dynamic Binary Instrumentation for Security (And How You May Get Caught Red Handed),"Daniele Cono D'Elia,Emilio Coppa,Simone Nicchi,Federico Palmaro,Lorenzo Cavallaro",https://dl.acm.org/doi/pdf/10.1145/3321705.3329819,https://github.com/season-lab/sok-dbi-security/,AsiaCCS,2019,1,0,1,2,11/12/2019,"C,C++",,2,-1,None,1,supported in part by a grant of the Italian Presidency of the Council of Ministers.,-1,No instructions on how to compile or run included code. Required a specific old version of Windows + VSCode + Pin to compile; unable to get environment set up correctly within one hour.
Efficient Two-level Homomorphic Encryption in Prime-order Bilinear Groups and A Fast Implementation in WebAssembly,"Nuttapong Attrapadung,Goichiro Hanaoka,Shigeo Mitsunari,Yusuke Sakai,Kana Shimizu,Tadanori Teruya",https://dl.acm.org/doi/pdf/10.1145/3196494.3196552,"https://github.com/herumi/mcl
https://herumi.github.io/she-wasm/",AsiaCCS,2018,"4,6",2,"0,1",2,16/05/2024,"C++,LLVM",,0,-1,None,1,"A part of this work is supported by JST CREST grant number
JPMJCR1688",-1,Building using `make` produced valid tests. Building using `cmake` produced illegal instruction errors.
Pseudoentropic Isometries: A New Framework for Fuzzy Extractor Reusability,"Quentin Alamélou,Paul-Edmond Berthier,Chloé Cachet,Stéphane Cauchie,Benjamin Fuller,Philippe Gaborit,Sailesh Simhadri",https://dl.acm.org/doi/pdf/10.1145/3196494.3196530,https://github.com/benjaminfuller/CompFE/blob/main/PythonImpl/RPISetDifference.py,AsiaCCS,2018,2,0,1,2,01/31/2024,Python,,1,-1,None,1,None,-1,Python script required significant modifications (outlined in diff file) to get running.
Non-interactive and Output Expressive Private Comparison from Homomorphic Encryption,"Wen-jie Lu,Jun-jie Zhou,Jun Sakuma",https://dl.acm.org/doi/pdf/10.1145/3196494.3196503,https://github.com/fionser/XCMP,AsiaCCS,2018,0,1,1,2,03/04/2019,C,,2,-1,None,1,supported by JST CREST with grant number JPMJCR1302 and Grants-in-Aid for Scientific Research with grant number 16H02864,-1,"Build script failed with many, many c++ errors, likely due to old/obsolete API use."
"A Secure, Practical & Safe Packet Spoofing Service",Will Scott,https://dl.acm.org/doi/pdf/10.1145/3052973.3055155,https://github.com/willscott/sp3,AsiaCCS,2018,POSTER--DO NOT INCLUDE,,,,,,,,,,,,,"Poster presentation, not paper."
Efficient Verifiable Computation of Linear and Quadratic Functions over Encrypted Data,"Ngoc Hieu Tran, HweeHwa Pang, Robert H. Deng",https://dl.acm.org/doi/pdf/10.1145/2897845.2897892,https://github.com/shaih/Helib,AsiaCCS,2016,NOT ACTUALLY AN ARTIFACT,,,,,,,,,,,"based on research supported by the Sin-
gapore National Research Foundation under NCR award
number NRF2014NCR-NCR001-012",-1,Not actually an artifact--just links to libraries others have written with no additional work from the authors.
Faster secure two-party computation with less memory,Henecka Wilko and Schneider Thomas,https://dl.acm.org/doi/pdf/10.1145/2484313.2484369,https://github.com/encryptogroup/me-sfe,AsiaCCS,2013,0,0,1,2,03/23/2015,Java,,0,-1,None,1,"supported by Australian Re-
search Council grant DP0984063, by an Adelaide Scholar-
ship International, and a Supplementary Scholarship by the
Defence Systems Innovation Centre. The second author was
supported by the German Federal Ministry of Education and
Research (BMBF) within EC SPRIDE and by the Hessian
LOEWE excellence initiative within CASED",-1,"Had to upgrade java version, but pretty trivial to do so."
Improving Fuzzing through Controlled Compilation,"Laurent Simon, Akash Verma",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9230360,https://github.com/Samsung/afl_cc,EuroS&P,2020,3,2,1,2,06/08/2020,"C++,C",,0,-1,None,1,"supported by the Knox Security team at Sam-
sung Research America. We thank the anonymous reviewers
for their valuable suggestions and comments. Special thanks to
our shepherd who helped us improve the paper; and Cristiano
Giuffrida for his valuable advice",-1,Worked out-of-the-box.
Formally Reasoning about the Cost and Efficacy of Securing the Email Infrastructure,"Patrick Speicher,Marcel Steinmetz,Robert Künnemann,Milivoj Simeonovski,Giancarlo Pellegrino,Jörg Hoffmann,Michael Backes",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406592,http://mitigations.whocontrolstheinternet.com,EuroS&P,2018,0,-1,-1,-1,None,None,,-1,-1,None,1,None,-1,Website 404'd--no way to retreive artifacts.
Enabling BYOD through secure meta-market,"Alessandro Armando, Gabriele Costa, Alessio Merlo, Luca Verderame",https://dl.acm.org/doi/pdf/10.1145/2627393.2627410,http://www.ai-lab.it/byodroid/,WiSec,2014,0,-1,-1,-1,None,None,,-1,-1,None,1,None,-1,Website 404'd--no way to retreive artifacts.
DroidEagle: Seamless Detection of Visually Similar Android Apps,"Mingshen Sun, Mengmeng Li, John C.S. Lui",https://dl.acm.org/doi/pdf/10.1145/2766498.2766508,http://www.droideagle.com/2015/12/AndroidPhone-as-Mic.html,WiSec,2015,0,-1,-1,-1,None,None,,-1,-1,None,1,None,-1,Website 404'd--no way to retreive artifacts.
"Securacy: An Empirical Investigation of Android Applications’ Network Usage, Privacy and Security","Janne Lindqvist, Denzil Ferreira, Vassilis Kostakos, Alastair R. Beresford, Anind K. Dey",https://dl.acm.org/doi/pdf/10.1145/2766498.2766506,http://comag.oulu.fi/securacy-understanding-mobile-privacy-and-security-concerns/,WiSec,2015,0,-1,-1,-1,None,None,,-1,-1,None,1,"funded by the Academy of Finland (Grants 137736,
276786, 285062), TEKES (Grant 2932/31/2009), European
Commission (Grants PCIG11-GA-2012-322138 and 645706-
GRAGE), and the NSF award No. 1228777",-1,Website 404'd--no way to retreive artifacts.
Short: Device-to-Identity Linking Attack Using Targeted Wi-Fi Geolocation Spoofing,"Mathieu Cunche, Jagdish Prasad Achara, Célestin Matte",https://dl.acm.org/doi/pdf/10.1145/2766498.2766521,https://github.com/Perdu/geoloc_attack,WiSec,2015,1,2,1,2,02/03/2015,Perl,1,,,WiFi Card,1,None,-1,Required hardware not available on VM (Wi-Fi card)
Shatter: Using Threshold Cryptography to Protect Single Users with Multiple Devices,"Erinn Atwater, Urs Hengartner",https://dl.acm.org/doi/pdf/10.1145/2939918.2939932,https://crysp.uwaterloo.ca/software/shatter/,WiSec,2016,0,-1,-1,-1,None,None,,-1,-1,None,1,"supported by funding from the Natu-
ral Sciences and Engineering Research Council of Canada,
the Ontario Research Fund, and a Google Focused Research
Award.",-1,Actual code 404'd--no way to retrieve libshatter for Linux.
SRide: A Privacy-Preserving Ridesharing System,"Ulrich Matchi Aïvodji, Kévin Huguenin, Marie-José Huguet, Marc-Olivier Killijian",https://dlnext.acm.org/doi/pdf/10.1145/3212480.3212483,https://github.com/CryptoExperts/FV-NFLlib,WiSec,2018,"4,0",1,1,2,07/26/2016,C++,,1,-1,None,1,None,-1,"Had to pull and build a different library before this one would build (among other build steps), but eventually tests checked out."
WADAC: Privacy-Preserving Anomaly Detection and Attack Classification on Wireless Traffic,"Ragav Sridharan, Rajib Ranjan Maiti, Nils Ole Tippenhauer",https://dlnext.acm.org/doi/pdf/10.1145/3212480.3212495,https://github.com/scy-phy/wadac,WiSec,2018,0,-1,1,2,01/17/2022,Python,,2,-1,None,1,None,-1,Couldn't get data extracted--R files wouldn't run properly.
Analyzing control flow integrity with LLVM-CFI,"Muntean, Paul and Neumayer, Matthias and Lin, Zhiqiang and Tan, Gang and Grossklags, Jens and Eckert, Claudia",https://dl.acm.org/doi/pdf/10.1145/3359789.3359806,https://github.com/TeamVault/LLVM-CFI,ACSAC,2019,0,0,1,2,06/14/2021,C++,,-1,-1,None,1,"partially supported
by US NSF grant CNS-1834215 and ONR award N00014-17-1-2995.
Gang Tan is partially supported by US NSF grant CNS-1801534 and
ONR award N00014-17-1-2539",-1,"Unable to install LLVM GoLD with instructions listed. Beyond this, source code had insufficient build instructions to get main project build."
